Year,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,OCCUPATION,DISABILITY_STATUS,COMPOSITE_BREAKDOWN,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2015,N,D27,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,62.6
2016,N,D27,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,61.7
2017,N,D27,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,59.9
2018,N,D27,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,64.2
2015,N,D27,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,63.0
2016,N,D27,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,61.5
2017,N,D27,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,60.1
2018,N,D27,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,65.2
2015,N,D27,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,72.4
2016,N,D27,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,71.5
2017,N,D27,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,67.1
2018,N,D27,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,71.6
2015,N,D27,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,69.2
2016,N,D27,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,70.2
2017,N,D27,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,70.4
2018,N,D27,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,74.1
2015,N,D27,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,71.9
2016,N,D27,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,68.7
2017,N,D27,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,65.3
2018,N,D27,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,72.6
2015,N,D27,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,64.3
2016,N,D27,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,60.8
2017,N,D27,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,60.5
2018,N,D27,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,63.0
2015,N,D27,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,50.3
2016,N,D27,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,49.8
2017,N,D27,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,48.0
2018,N,D27,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,52.4
2015,N,D27,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,60.1
2016,N,D27,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,59.8
2017,N,D27,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,58.1
2018,N,D27,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,62.7
2015,N,D27,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,45.8
2016,N,D27,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,46.2
2017,N,D27,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,45.1
2018,N,D27,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,46.3
2015,N,D27,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,49.2
2016,N,D27,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,49.5
2017,N,D27,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,48.2
2018,N,D27,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,49.9
2015,N,D27,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,55.8
2016,N,D27,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,57.8
2017,N,D27,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,53.9
2018,N,D27,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,57.7
2015,N,D27,MZ6,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,61.0
2016,N,D27,MZ6,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,60.0
2017,N,D27,MZ6,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,58.7
2018,N,D27,MZ6,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,58.8
