Year,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,OCCUPATION,DISABILITY_STATUS,COMPOSITE_BREAKDOWN,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2011,N,SG_REG_BRTH,508,F,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2011,47.9
2017,N,SG_REG_BRTH,508,F,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2017,71.8
2011,N,SG_REG_BRTH,508,M,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2011,47.8
2017,N,SG_REG_BRTH,508,M,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2017,72.1
2011,N,SG_REG_BRTH,508,_T,_T,_T,_T,_T,_T,_T,Q1,por milhão de habitantes,0,2011,42.3
2011,N,SG_REG_BRTH,508,_T,_T,_T,_T,_T,_T,_T,Q2,por milhão de habitantes,0,2011,43.1
2011,N,SG_REG_BRTH,508,_T,_T,_T,_T,_T,_T,_T,Q3,por milhão de habitantes,0,2011,47.8
2011,N,SG_REG_BRTH,508,_T,_T,_T,_T,_T,_T,_T,Q4,por milhão de habitantes,0,2011,50.2
2011,N,SG_REG_BRTH,508,_T,_T,_T,_T,_T,_T,_T,Q5,por milhão de habitantes,0,2011,60.2
2011,N,SG_REG_BRTH,508,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2011,47.9
2017,N,SG_REG_BRTH,508,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2017,71.9
2011,N,SG_REG_BRTH,508,_T,_T,U,_T,_T,_T,_T,_T,por milhão de habitantes,0,2011,50.6
2017,N,SG_REG_BRTH,508,_T,_T,U,_T,_T,_T,_T,_T,por milhão de habitantes,0,2017,81.9
2011,N,SG_REG_BRTH,508,_T,_T,R,_T,_T,_T,_T,_T,por milhão de habitantes,0,2011,46.8
2017,N,SG_REG_BRTH,508,_T,_T,R,_T,_T,_T,_T,_T,por milhão de habitantes,0,2017,67.5
2011,N,SG_REG_BRTH,508,_T,Y0T2,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2011,35.2
2017,N,SG_REG_BRTH,508,_T,Y0T2,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2017,39.6
2011,N,SG_REG_BRTH,508,_T,Y2T4,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2011,56.5
2017,N,SG_REG_BRTH,508,_T,Y2T4,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2017,54.3
2011,N,SG_REG_BRTH,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2011,35.1
2017,N,SG_REG_BRTH,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2017,61.9
2011,N,SG_REG_BRTH,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2011,43.6
2017,N,SG_REG_BRTH,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2017,76.2
2011,N,SG_REG_BRTH,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2011,59.0
2017,N,SG_REG_BRTH,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2017,65.2
2011,N,SG_REG_BRTH,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2011,26.8
2017,N,SG_REG_BRTH,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2017,70.7
2011,N,SG_REG_BRTH,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2011,76.3
2017,N,SG_REG_BRTH,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2017,63.4
2011,N,SG_REG_BRTH,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2011,67.1
2017,N,SG_REG_BRTH,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2017,78.8
2011,N,SG_REG_BRTH,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2011,40.2
2017,N,SG_REG_BRTH,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2017,70.8
2011,N,SG_REG_BRTH,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2011,43.2
2017,N,SG_REG_BRTH,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2017,81.3
2011,N,SG_REG_BRTH,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2011,31.2
2017,N,SG_REG_BRTH,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2017,84.6
2011,N,SG_REG_BRTH,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2011,57.3
2017,N,SG_REG_BRTH,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2017,86.1
2011,N,SG_REG_BRTH,MZ6,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2011,54.8
2017,N,SG_REG_BRTH,MZ6,_T,_T,_T,_T,_T,_T,_T,_T,por milhão de habitantes,0,2017,87.8
