Year,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,OCCUPATION,DISABILITY_STATUS,COMPOSITE_BREAKDOWN,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2015,N,SE_TRA_GRDL,508,F,_T,_T,ISCED11_2,_T,_T,_T,_T,PT,0,2015,93.7
2016,N,SE_TRA_GRDL,508,F,_T,_T,ISCED11_2,_T,_T,_T,_T,PT,0,2016,93.3
2017,N,SE_TRA_GRDL,508,F,_T,_T,ISCED11_2,_T,_T,_T,_T,PT,0,2017,94.3
2018,N,SE_TRA_GRDL,508,F,_T,_T,ISCED11_2,_T,_T,_T,_T,PT,0,2018,94.7
2015,N,SE_TRA_GRDL,508,F,_T,_T,ISCED11_3,_T,_T,_T,_T,PT,0,2015,97.9
2016,N,SE_TRA_GRDL,508,F,_T,_T,ISCED11_3,_T,_T,_T,_T,PT,0,2016,95.1
2017,N,SE_TRA_GRDL,508,F,_T,_T,ISCED11_3,_T,_T,_T,_T,PT,0,2017,95.9
2018,N,SE_TRA_GRDL,508,F,_T,_T,ISCED11_3,_T,_T,_T,_T,PT,0,2018,97.0
2015,N,SE_TRA_GRDL,508,F,_T,_T,ISCED11_1,_T,_T,_T,_T,PT,0,2015,94.8
2016,N,SE_TRA_GRDL,508,F,_T,_T,ISCED11_1,_T,_T,_T,_T,PT,0,2016,96.4
2017,N,SE_TRA_GRDL,508,F,_T,_T,ISCED11_1,_T,_T,_T,_T,PT,0,2017,97.3
2018,N,SE_TRA_GRDL,508,F,_T,_T,ISCED11_1,_T,_T,_T,_T,PT,0,2018,98.0
2015,N,SE_TRA_GRDL,508,M,_T,_T,ISCED11_2,_T,_T,_T,_T,PT,0,2015,91.9
2016,N,SE_TRA_GRDL,508,M,_T,_T,ISCED11_2,_T,_T,_T,_T,PT,0,2016,92.1
2017,N,SE_TRA_GRDL,508,M,_T,_T,ISCED11_2,_T,_T,_T,_T,PT,0,2017,94.2
2018,N,SE_TRA_GRDL,508,M,_T,_T,ISCED11_2,_T,_T,_T,_T,PT,0,2018,95.0
2015,N,SE_TRA_GRDL,508,M,_T,_T,ISCED11_3,_T,_T,_T,_T,PT,0,2015,96.6
2016,N,SE_TRA_GRDL,508,M,_T,_T,ISCED11_3,_T,_T,_T,_T,PT,0,2016,95.7
2017,N,SE_TRA_GRDL,508,M,_T,_T,ISCED11_3,_T,_T,_T,_T,PT,0,2017,96.5
2018,N,SE_TRA_GRDL,508,M,_T,_T,ISCED11_3,_T,_T,_T,_T,PT,0,2018,97.5
2015,N,SE_TRA_GRDL,508,M,_T,_T,ISCED11_1,_T,_T,_T,_T,PT,0,2015,92.0
2016,N,SE_TRA_GRDL,508,M,_T,_T,ISCED11_1,_T,_T,_T,_T,PT,0,2016,94.2
2017,N,SE_TRA_GRDL,508,M,_T,_T,ISCED11_1,_T,_T,_T,_T,PT,0,2017,95.7
2018,N,SE_TRA_GRDL,508,M,_T,_T,ISCED11_1,_T,_T,_T,_T,PT,0,2018,96.8
2015,N,SE_TRA_GRDL,508,_T,_T,_T,ISCED11_2,_T,_T,_T,_T,PT,0,2015,92.3
2016,N,SE_TRA_GRDL,508,_T,_T,_T,ISCED11_2,_T,_T,_T,_T,PT,0,2016,92.4
2017,N,SE_TRA_GRDL,508,_T,_T,_T,ISCED11_2,_T,_T,_T,_T,PT,0,2017,94.2
2018,N,SE_TRA_GRDL,508,_T,_T,_T,ISCED11_2,_T,_T,_T,_T,PT,0,2018,94.9
2015,N,SE_TRA_GRDL,508,_T,_T,_T,ISCED11_3,_T,_T,_T,_T,PT,0,2015,96.9
2016,N,SE_TRA_GRDL,508,_T,_T,_T,ISCED11_3,_T,_T,_T,_T,PT,0,2016,95.6
2017,N,SE_TRA_GRDL,508,_T,_T,_T,ISCED11_3,_T,_T,_T,_T,PT,0,2017,96.4
2018,N,SE_TRA_GRDL,508,_T,_T,_T,ISCED11_3,_T,_T,_T,_T,PT,0,2018,97.4
2015,N,SE_TRA_GRDL,508,_T,_T,_T,ISCED11_1,_T,_T,_T,_T,PT,0,2015,93.2
2016,N,SE_TRA_GRDL,508,_T,_T,_T,ISCED11_1,_T,_T,_T,_T,PT,0,2016,95.1
2017,N,SE_TRA_GRDL,508,_T,_T,_T,ISCED11_1,_T,_T,_T,_T,PT,0,2017,96.4
2018,N,SE_TRA_GRDL,508,_T,_T,_T,ISCED11_1,_T,_T,_T,_T,PT,0,2018,97.4
