Year,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,OCCUPATION,DISABILITY_STATUS,COMPOSITE_BREAKDOWN,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2015,N,D41,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2015,10839.0
2016,N,D41,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2016,15239.0
2017,N,D41,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2017,14125.0
2018,N,D41,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2018,13699.0
2019,N,D41,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2019,10691.0
2015,N,ER_GRF_PLNTSTOR,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2015,2939.0
2016,N,ER_GRF_PLNTSTOR,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2016,2989.0
2017,N,ER_GRF_PLNTSTOR,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2017,3075.0
2018,N,ER_GRF_PLNTSTOR,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2018,3399.0
2019,N,ER_GRF_PLNTSTOR,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2019,3000.0
2015,N,ER_GRF_ANIMRCNTN,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2015,7900.0
2016,N,ER_GRF_ANIMRCNTN,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2016,12250.0
2017,N,ER_GRF_ANIMRCNTN,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2017,11050.0
2018,N,ER_GRF_ANIMRCNTN,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2018,10300.0
2019,N,ER_GRF_ANIMRCNTN,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2019,7691.0
