Year,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,OCCUPATION,DISABILITY_STATUS,COMPOSITE_BREAKDOWN,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2015,N,D17,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,54.9
2016,N,D17,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,56.2
2017,N,D17,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2017,52.6
2018,N,D17,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2018,57.8
2019,N,D17,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2019,60.7
2015,N,D17,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2015,31.8
2016,N,D17,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2016,31.5
2017,N,D17,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2017,31.5
2018,N,D17,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2018,29.9
2019,N,D17,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2019,32.7
2015,N,D17,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,42.2
2016,N,D17,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,43.9
2017,N,D17,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2017,41.8
2018,N,D17,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2018,44.7
2019,N,D17,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2019,45.2
2015,N,D17,MZ-A,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2015,24.7
2016,N,D17,MZ-A,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2016,23.0
2017,N,D17,MZ-A,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2017,24.1
2018,N,D17,MZ-A,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2018,24.5
2019,N,D17,MZ-A,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2019,25.8
2015,N,D17,MZ-P,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,43.2
2016,N,D17,MZ-P,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,43.5
2017,N,D17,MZ-P,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2017,39.1
2018,N,D17,MZ-P,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2018,47.0
2019,N,D17,MZ-P,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2019,49.5
2015,N,D17,MZ-P,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2015,20.6
2016,N,D17,MZ-P,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2016,22.2
2017,N,D17,MZ-P,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2017,19.7
2018,N,D17,MZ-P,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2018,18.7
2019,N,D17,MZ-P,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2019,22.9
2015,N,D17,MZ-N,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,43.1
2016,N,D17,MZ-N,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,41.8
2017,N,D17,MZ-N,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2017,39.5
2018,N,D17,MZ-N,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2018,43.5
2019,N,D17,MZ-N,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2019,45.8
2015,N,D17,MZ-N,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2015,22.5
2016,N,D17,MZ-N,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2016,20.9
2017,N,D17,MZ-N,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2017,21.7
2018,N,D17,MZ-N,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2018,21.0
2019,N,D17,MZ-N,_T,_T,_T,AGG_2,_T,_T,_T,_T,PT,0,2019,23.5
2015,N,D17,MZ-Q,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2015,43.7
2016,N,D17,MZ-Q,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,PT,0,2016,44.8
