Year,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,OCCUPATION,DISABILITY_STATUS,COMPOSITE_BREAKDOWN,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2015,N,D20,508,F,_T,_T,_T,_T,_T,_T,_T,PT,0,2015,81.8
2016,N,D20,508,F,_T,_T,_T,_T,_T,_T,_T,PT,0,2016,85.4
2017,N,D20,508,F,_T,_T,_T,_T,_T,_T,_T,PT,0,2017,83.9
2018,N,D20,508,F,_T,_T,_T,_T,_T,_T,_T,PT,0,2018,92.5
2019,N,D20,508,F,_T,_T,_T,_T,_T,_T,_T,PT,0,2019,92.9
2015,N,D20,508,M,_T,_T,_T,_T,_T,_T,_T,PT,0,2015,85.9
2016,N,D20,508,M,_T,_T,_T,_T,_T,_T,_T,PT,0,2016,87.5
2017,N,D20,508,M,_T,_T,_T,_T,_T,_T,_T,PT,0,2017,84.9
2018,N,D20,508,M,_T,_T,_T,_T,_T,_T,_T,PT,0,2018,93.7
2019,N,D20,508,M,_T,_T,_T,_T,_T,_T,_T,PT,0,2019,93.8
2015,N,D20,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2015,83.9
2016,N,D20,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2016,86.4
2017,N,D20,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2017,84.4
2018,N,D20,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2018,93.1
2019,N,D20,508,_T,_T,_T,_T,_T,_T,_T,_T,PT,0,2019,93.3
