Year,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,OCCUPATION,DISABILITY_STATUS,COMPOSITE_BREAKDOWN,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2015,N,SD_XPD_ESED,508,_T,_T,_T,_T,_T,_T,S,_T,PT,0,2015,9.5
2016,N,SD_XPD_ESED,508,_T,_T,_T,_T,_T,_T,S,_T,PT,0,2016,13.7
2017,N,SD_XPD_ESED,508,_T,_T,_T,_T,_T,_T,S,_T,PT,0,2017,11.4
2018,N,SD_XPD_ESED,508,_T,_T,_T,_T,_T,_T,S,_T,PT,0,2018,8.1
2015,N,SD_XPD_ESED,508,_T,_T,_T,_T,_T,_T,E,_T,PT,0,2015,21.7
2016,N,SD_XPD_ESED,508,_T,_T,_T,_T,_T,_T,E,_T,PT,0,2016,26.8
2017,N,SD_XPD_ESED,508,_T,_T,_T,_T,_T,_T,E,_T,PT,0,2017,28.1
2018,N,SD_XPD_ESED,508,_T,_T,_T,_T,_T,_T,E,_T,PT,0,2018,25.6
2015,N,SD_XPD_ESED,508,_T,_T,_T,_T,_T,_T,AS,_T,PT,0,2015,2.2
2016,N,SD_XPD_ESED,508,_T,_T,_T,_T,_T,_T,AS,_T,PT,0,2016,2.2
2017,N,SD_XPD_ESED,508,_T,_T,_T,_T,_T,_T,AS,_T,PT,0,2017,2.6
2018,N,SD_XPD_ESED,508,_T,_T,_T,_T,_T,_T,AS,_T,PT,0,2018,2.3
