Year,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,OCCUPATION,DISABILITY_STATUS,COMPOSITE_BREAKDOWN,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2015,N,D31,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2015,663.0
2016,N,D31,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2016,495.0
2017,N,D31,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2017,399.0
2018,N,D31,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2018,496.0
2019,N,D31,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,0,2019,573.0
2015,N,D31,508,_T,_T,_T,_T,_T,_T,FF,_T,Number,0,2015,11.0
2016,N,D31,508,_T,_T,_T,_T,_T,_T,FF,_T,Number,0,2016,14.0
2017,N,D31,508,_T,_T,_T,_T,_T,_T,FF,_T,Number,0,2017,15.0
2018,N,D31,508,_T,_T,_T,_T,_T,_T,FF,_T,Number,0,2018,11.0
2019,N,D31,508,_T,_T,_T,_T,_T,_T,FF,_T,Number,0,2019,7.0
2015,N,D31,508,_T,_T,_T,_T,_T,_T,FNF,_T,Number,0,2015,652.0
2016,N,D31,508,_T,_T,_T,_T,_T,_T,FNF,_T,Number,0,2016,481.0
2017,N,D31,508,_T,_T,_T,_T,_T,_T,FNF,_T,Number,0,2017,384.0
2018,N,D31,508,_T,_T,_T,_T,_T,_T,FNF,_T,Number,0,2018,485.0
2019,N,D31,508,_T,_T,_T,_T,_T,_T,FNF,_T,Number,0,2019,566.0
